BodyID	JointID	Confidance	X	Y	Z	Qw	Qx	Qy	Qz	X2DColor	Y2DColor	X2DDepth	Y2DDepth
1	0	0.666667	23.263918	-116.213356	1762.093018	0.619127	-0.358433	0.619072	-0.323971	1020.171753	817.297913	330.158783	304.306152
1	1	0.666667	27.269140	-257.276123	1675.778809	0.620265	-0.356248	0.620332	-0.321786	1021.981140	733.913574	331.648346	260.802155
1	2	0.666667	30.348541	-368.522186	1604.334229	0.600361	-0.360421	0.643445	-0.309261	1023.455383	662.480530	332.877563	223.873383
1	3	0.666667	26.538620	-537.122314	1494.407471	0.623228	-0.307660	0.670276	-0.260120	1020.571533	542.513306	332.095398	163.986374
1	4	0.666667	58.362839	-508.939392	1510.484863	0.902297	-0.412289	-0.100208	0.076395	1040.479858	563.135803	342.254150	174.105789
1	5	0.666667	186.703568	-479.713257	1526.104614	0.797267	-0.162731	-0.395036	0.426417	1119.609619	583.605591	382.846405	185.002075
1	6	0.666667	269.782410	-272.547577	1651.944580	0.323931	-0.381531	-0.192272	0.844117	1161.920776	722.590210	404.237244	255.891602
1	7	0.666667	162.467010	-123.385620	1540.211182	0.222734	0.226399	0.761297	-0.565296	1106.269531	803.297424	376.285950	297.368347
1	8	0.666667	96.101913	-117.264641	1480.796143	0.328811	0.370670	0.702448	-0.510934	1066.458496	804.235596	356.063538	297.734314
1	9	0.666667	45.107113	-98.754189	1396.563110	0.328811	0.370670	0.702448	-0.510934	1033.922607	812.374939	339.743591	301.932495
1	10	0.666667	60.467453	-155.528259	1595.685547	-0.020087	0.357600	0.116103	0.926412	1041.940308	786.945740	342.521912	288.576569
1	11	0.666667	-3.744491	-510.646942	1516.269531	0.419273	0.889587	-0.012245	-0.180819	1001.917358	563.365845	322.328949	174.101898
1	12	0.666667	-117.674675	-489.501099	1554.246948	0.280662	0.764078	-0.335946	-0.473871	933.385986	583.506470	286.713898	184.284943
1	13	0.666667	-202.571121	-286.021637	1694.074951	0.522193	0.358476	-0.753770	-0.175041	892.428589	719.778992	264.216309	253.685608
1	14	0.666667	-159.533661	-128.516144	1549.962524	0.026934	0.278035	-0.606250	0.744602	905.953003	801.303040	272.044189	295.963562
1	15	0.666667	-78.114822	-93.817352	1512.424927	0.316085	0.493049	-0.449161	0.674720	954.803833	821.119690	297.597687	306.297089
1	16	0.666667	-47.192963	-92.204292	1418.937866	0.316085	0.493049	-0.449161	0.674720	971.205139	818.124634	306.822876	304.802734
1	17	0.666667	-78.594521	-140.737732	1499.675781	0.315791	0.054856	-0.118621	0.939785	954.056213	790.617676	297.261261	290.402557
1	18	0.666667	107.710190	-112.602577	1760.110474	0.557152	-0.411093	0.546550	-0.471027	1066.349609	819.051636	354.234009	305.335480
1	19	0.666667	122.991409	249.036087	1842.425293	0.685904	-0.196205	0.655135	-0.248671	1074.381958	1016.028442	356.858276	404.947906
1	20	0.333333	116.633232	461.254547	2126.633789	0.681655	-0.206812	0.649287	-0.266462	1065.669678	1100.914307	350.665863	444.794250
1	21	0.333333	128.316971	634.475586	2120.980713	0.674783	0.312566	0.602576	0.289608	1072.164185	1188.611816	353.053192	483.470612
1	22	0.666667	-52.885002	-119.469360	1763.880859	0.376945	0.569828	0.487925	0.543265	978.613403	815.740906	308.469543	303.423309
1	23	0.666667	-77.512383	238.589691	1857.061035	0.198519	0.689144	0.296450	0.630705	967.189636	1009.694824	302.654327	401.702240
1	24	0.333333	-67.239212	474.835571	2126.496826	0.230820	0.674952	0.293707	0.636316	978.912964	1108.064209	307.883667	447.933044
1	25	0.333333	-79.220566	633.108032	2107.830078	-0.285828	0.689614	-0.265093	0.610295	972.294434	1190.433228	305.174713	484.135254
1	26	0.666667	23.973671	-592.919067	1443.249878	0.615335	-0.171346	0.767489	-0.054452	1018.621765	495.419037	331.445770	141.551773
1	27	0.666667	-17.019613	-477.339722	1358.628662	0.615335	-0.171346	0.767489	-0.054452	990.136230	549.915161	317.470947	167.577362
1	28	0.666667	6.571648	-516.937378	1334.774902	0.473611	0.421537	0.663856	0.396604	1006.047485	516.923462	325.887299	151.710144
1	29	0.666667	83.537399	-599.810974	1366.798340	0.054452	0.767489	0.171346	0.615335	1058.946533	469.716736	352.429657	129.880753
1	30	0.666667	-39.566059	-518.700195	1349.554199	0.473611	0.421537	0.663856	0.396604	974.196533	519.631104	309.462555	153.037552
1	31	0.666667	-62.793819	-622.284302	1408.628906	0.615335	-0.171346	0.767489	-0.054452	960.813904	467.174896	302.450836	128.549500
